customer_id,first_name,last_name,email,phone,city,signup_date
1,Shahzaib,Iqbal,shahzaib.iqbal1@example.com,305614226,Rawalpindi,2025-04-27
2,Fatima,Iqbal,fatima.iqbal2@example.com,342458591,Faisalabad,2025-06-17
3,Bilal,Khan,bilal.khan3@example.com,304668136,Rawalpindi,2025-07-08
4,Kiran,Khan,kiran.khan4@example.com,344335942,Multan,2025-08-14
5,Adeel,Mirza,adeel.mirza5@example.com,334698379,Karachi,2025-07-29
6,Mahnoor,Khan,mahnoor.khan6@example.com,318090293,Lahore,2025-05-11
7,Fatima,Chaudhry,fatima.chaudhry7@example.com,322714803,Islamabad,2025-06-06
8,Hamza,Qureshi,hamza.qureshi8@example.com,325437923,Peshawar,2025-03-12
9,Sidra,Aziz,sidra.aziz9@example.com,343094235,Karachi,2025-03-21
10,Bilquis,Javed,bilquis.javed10@example.com,347067228,Faisalabad,2025-04-19
11,Adeel,Ahmed,adeel.ahmed11@example.com,304823498,Peshawar,2025-05-14
12,Sara,Raza,sara.raza12@example.com,307377459,Lahore,2025-06-25
13,Shahzaib,Qureshi,shahzaib.qureshi13@example.com,317210606,Lahore,2025-04-23
14,Rabia,Farooq,rabia.farooq14@example.com,303871230,Faisalabad,2025-09-03
15,Ali,Butt,ali.butt15@example.com,337366205,Lahore,2025-10-23
16,Shahzaib,Mirza,shahzaib.mirza16@example.com,316440561,Peshawar,2025-09-13
17,Waqas,Malik,waqas.malik17@example.com,311538552,Peshawar,2025-05-20
18,Sana,Farooq,sana.farooq18@example.com,304539704,Faisalabad,2025-10-11
19,Adeel,Baig,adeel.baig19@example.com,319375710,Karachi,2025-10-13
20,Nida,Aziz,nida.aziz20@example.com,315443951,Rawalpindi,2025-05-03
21,Sidra,Mirza,sidra.mirza21@example.com,345408072,Multan,2025-07-28
22,Talha,Anwar,talha.anwar22@example.com,337073292,Rawalpindi,2025-04-05
23,Mariam,Saeed,mariam.saeed23@example.com,301790481,Peshawar,2025-03-29
24,Fatima,Butt,fatima.butt24@example.com,332065818,Karachi,2025-06-06
25,Kiran,Aziz,kiran.aziz25@example.com,345218028,Faisalabad,2025-10-07
